seq,exp,valence,arousal,dominance,liking,familiarity,participantID
17,7,7,6.9,7.1,8.2,5,13-9UOF
18,20,7,5,5.9,7.6,1,13-9UOF
19,31,5,5.1,3.7,5.7,1,13-9UOF
20,5,7.7,7,5.5,7.7,5,13-9UOF
21,11,6.8,5.8,5.7,6.2,1,13-9UOF
22,33,4.5,6.5,4.2,4.4,1,13-9UOF
23,1,6.5,6.4,6.3,7.6,5,13-9UOF
24,24,3.3,5.5,5.6,7.3,3,13-9UOF
25,26,5,3.5,3.7,3.8,1,13-9UOF
26,34,5.8,8.2,6.7,5.9,1,13-9UOF
27,3,7.5,8.3,6.5,7.7,5,13-9UOF
28,4,6.2,6,5.5,6,1,13-9UOF
29,38,5,6.8,5.5,4.1,1,13-9UOF
30,17,5,3.6,3.5,5.3,1,13-9UOF
31,22,4.2,5.2,5.8,6.1,1,13-9UOF
32,14,7.6,6.9,6.4,7.5,5,13-9UOF
33,25,5,5,4.1,5.7,1,13-9UOF
34,28,5,4,3.7,5.5,1,13-9UOF
35,8,6.8,7.1,5.9,7.7,5,13-9UOF
36,21,4,4.1,5.6,5.7,1,13-9UOF
37,27,5.5,4.2,4.2,5.7,1,13-9UOF
38,9,7.2,6.6,6.4,7.4,4,13-9UOF
1,6,7,7.2,7.1,7.1,4,14-9UP0
2,31,6.1,7,6.8,2,1,14-9UP0
3,23,4.8,6.7,6.8,3.8,1,14-9UP0
4,14,7.4,6.2,7,7.5,4,14-9UP0
5,34,6.1,6.3,6.8,1,1,14-9UP0
6,37,5.7,5.6,6.7,1,1,14-9UP0
7,36,3.2,5.5,4.6,3.7,2,14-9UP0
8,1,5.1,7,6.4,6.4,4,14-9UP0
9,24,3.7,6.3,5.7,3.3,4,14-9UP0
10,22,5.7,5.4,6.7,8.7,1,14-9UP0
11,8,6,5.5,7.4,6.7,4,14-9UP0
12,17,5,6,7.4,6.5,2,14-9UP0
13,25,3.1,4.3,6.2,2.9,1,14-9UP0
14,27,4.1,4.4,5.6,3.7,1,14-9UP0
15,28,2.5,6.2,2.3,8.2,4,14-9UP0
16,30,3,5.9,3.5,5.5,2,14-9UP0
17,32,3.5,4.6,5.6,3.4,1,14-9UP0
18,39,3.4,5.3,5.4,1.6,1,14-9UP0
19,11,5.5,5.4,6,6.7,1,14-9UP0
20,40,5.9,5.6,7.7,1.4,1,14-9UP0
21,4,8,6.5,7,8.6,5,14-9UP0
22,29,6.4,5.6,5.8,6.6,5,14-9UP0
23,9,6.6,6.5,6.3,7.7,4,14-9UP0
1,39,6.6,6.5,5.6,3.6,1,15-9UR2
2,12,7.4,3.1,6.9,6.5,2,15-9UR2
3,18,7.9,2.8,6.2,7.7,5,15-9UR2
4,21,4.1,6.2,4.1,4.3,1,15-9UR2
5,31,4.3,5.7,4.6,4.5,2,15-9UR2
6,1,6.8,6,4.4,5.8,5,15-9UR2
7,4,8,7.6,3.2,8.5,5,15-9UR2
8,23,3.8,4.2,5.9,4.4,4,15-9UR2
9,19,8,6,6.2,9,5,15-9UR2
