participantID,seq,exp,nSamples,medianVal,maxVal
12-9UN3,1,8,1907,207.030489720721,311.098553456525
12-9UN3,2,36,1907,197.436169692264,285.244421980354
12-9UN3,3,19,1905,218.404402449418,299.511232111074
12-9UN3,4,29,1905,201.129618955901,292.423859761712
12-9UN3,5,14,1906,209.101030572842,327.453658757256
12-9UN3,6,7,1907,203.376472133893,274.021362878916
12-9UN3,7,34,1906,206.404964683943,326.346676390426
12-9UN3,8,6,1906,206.096873717479,325.149276366047
12-9UN3,9,24,1906,233.997091132829,351.268158459608
12-9UN3,10,18,1905,200.276464797404,303.022533175037
12-9UN3,11,37,1906,195.761703629938,301.79483907718
12-9UN3,12,13,1907,202.562292676649,271.971616679734
12-9UN3,13,5,1906,199.890812744714,274.511397819127
12-9UN3,14,30,1907,196.230186137976,290.559828637409
12-9UN3,15,3,1904,208.192918160546,275.51550707707
12-9UN3,16,32,1907,182.596477565959,279.296204621965
12-9UN3,17,33,1904,207.084785028463,288.205775791444
