participantID,seq,exp,preDynamicMedian,walkDynamicMedian,walkRawMedian,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
04-9U66,6,40,17.9005933319966,202.503549911439,981.835312379727,1,0.768476357267951,6.5,4.2,7.6,5.6,1
04-9U66,7,22,18.2329949529235,208.200437776083,983.607846355943,1,0.748903138710766,5.5,6.3,2.6,6,1
04-9U66,8,19,19.7121937598891,201.864429450575,985.156197434199,1,0.818819188191882,8.2,3.2,7.5,6.5,3
04-9U66,9,25,17.6362872088123,206.826368865681,987.731388870341,1,0.830254041570439,2.6,4.2,1.7,4.1,1
04-9U66,10,1,20.885804431093,197.356000033658,983.902958227677,1,0.83601756954612,7.8,5.3,7.3,7.1,4
04-9U66,11,3,19.6340661341126,212.191900729777,989.053162192316,1,0.756918474195961,8.3,2,8.2,8.4,3
04-9U66,12,4,19.2771082075562,215.455148707772,985.745405738928,1,0.745461422087746,8.5,4.6,6.8,7.6,2
04-9U66,13,18,17.7633247200774,211.637460639334,985.414018729419,1,0.738285714285714,8.6,4.1,3.4,7.8,2
04-9U66,14,14,19.7237382404261,217.169645373819,990.446453713957,1,0.750189537528431,8.5,2.5,4.3,8.5,4
04-9U66,15,11,17.8926409038414,205.157791722263,983.644739490025,1,0.816043193212495,9,1.5,8.7,9,1
04-9U66,16,28,20.6114496249967,209.718371536775,986.039877860729,1,0.86591086786552,2.3,3.7,3.6,6.6,1
04-9U66,17,5,19.6442129406944,209.020979109137,988.906385733513,1,0.791431792559188,8.3,3.4,8.8,8.6,4
04-9U66,18,31,18.4332793758211,201.374853709939,980.725851805722,1,0.813527653213752,3.7,3.1,7.6,2.2,1
04-9U66,19,9,18.5732593704232,209.510206998965,986.665338625887,1,0.826352175681171,8.8,3.1,7.4,8.5,3
04-9U66,20,10,21.5511417362321,213.981506154349,985.598136685184,1,0.817138485080337,6.3,3.7,8.6,7.9,2
04-9U66,21,32,19.9718294400089,216.834656406793,985.04567544065,1,0.778867924528302,1.8,1.4,8.2,1.4,1
04-9U66,22,15,19.9647037685439,207.577761304384,987.915068104591,1,0.737073707370737,7.4,6.1,1.7,5.3,1
04-9U66,23,27,19.4285916445441,201.235443149892,979.837378860119,1,0.78006385242994,6.5,7,3.6,5.7,1
04-9U66,24,29,18.3419522223185,201.03336680329,986.849223119288,1,0.856171735241503,3.9,6,4.1,4,1
04-9U66,25,34,19.2312757533942,203.021528405629,985.156197434199,1,0.823655913978495,1.9,3.3,5.4,2,1
04-9U66,26,33,18.2782187507589,222.150523007171,984.271723638559,1,0.795637198622273,3.5,6,6.3,4.1,1
04-9U66,27,6,19.3845923573571,215.919653886845,983.017356825699,1,0.830514844043593,8.9,2.1,8.2,8.6,4
04-9U66,28,8,20.3165866211747,214.860120643949,979.207555409517,1,0.800756143667297,8.5,3.3,6.6,8,3
04-9U66,29,20,19.8359676460636,213.047034840049,979.652178207462,1,0.835955056179775,8.6,1.9,8.4,6.8,4
04-9U66,30,37,20.5353592190998,217.35252996172,985.745405738928,1,0.806511976047904,1.2,1.2,8.7,1,1
04-9U66,31,26,18.772936796398,208.113747240935,983.017356825699,1,0.750269881252249,6.4,4.4,3.1,6.4,1
04-9U66,32,39,19.1541645573408,207.228365591258,983.349550124158,1,0.804538799414348,2.4,2.3,7.4,1.9,1
04-9U66,33,36,19.6789558650899,204.709326384501,989.089852223237,1,0.835246205109219,3.6,5.3,5.7,2.8,1
04-9U66,34,21,19.6586953415943,219.282429088668,987.180126973032,1,0.779116465863454,2.5,7,3.5,3.2,1
04-9U66,35,24,20.4213871204708,209.354331578881,982.204854081389,1,0.816625044595077,3.8,3.2,4.4,7.1,2
04-9U66,36,13,19.7237414078108,211.315929551883,985.892652794158,1,0.713863216266174,7.6,2.4,1.9,7.3,1
04-9U66,37,38,20.0855178223665,218.314462886514,984.271723638559,1,0.846942511900403,1.4,1.8,7.2,1.3,1
04-9U66,38,7,19.8847072897506,199.593996584432,990.629634982318,1,0.685029163966299,6.5,4.3,7.9,7.6,3
05-9U8B,1,27,25.1845010274491,208.554059719562,980.873849596848,1,0.798996775349337,5.3,8.9,5.2,6.9,1
05-9U8B,2,5,24.4167223491838,215.562786617055,977.315652562566,1,0.840855106888361,8,4.7,7,8.1,1
05-9U8B,3,22,25.6514517337162,227.635897005661,977.983801136418,1,0.824784724822164,6.9,5.7,5.3,8.2,1
05-9U8B,4,11,25.1969322400684,225.703147528109,980.429783617298,1,0.835587929240375,6.9,7.7,5.3,5.2,1
05-9U8B,5,6,24.4015633663783,235.52580384895,979.170495097776,1,0.774966711051931,6.1,7.8,6,7.7,1
05-9U8B,6,7,25.9789088734735,227.067526853106,976.49840568444,1,0.839545615903443,4.1,8.3,5.7,5,1
05-9U8B,7,19,25.2420753291572,222.907463949304,979.096368863135,1,0.793253173012692,7,8,5.4,6.8,1
05-9U8B,8,24,25.2893768588184,241.126922539037,979.578088422443,1,0.863082437275986,4.1,7.2,6.8,8.3,1
