normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
baseline-normalized,SC3001,WRIST_L,5,0.4
baseline-normalized,SC3001,WRIST_R,5,0.2
baseline-normalized,SC3001,LTORSO,5,0.4
baseline-normalized,SK0702,UTORSO,5,0.9
baseline-normalized,SK0702,HEAD,5,0.8
baseline-normalized,SK0702,UPPER_LIMB_L,5,0.9
baseline-normalized,SK0702,UPPER_LIMB_R,5,0.8
baseline-normalized,SK0702,LOWER_LIMB_L,5,0.8
baseline-normalized,SK0702,LOWER_LIMB_R,5,0.8
baseline-normalized,SK0702,WRIST_L,5,0.9
baseline-normalized,SK0702,WRIST_R,5,0.8
baseline-normalized,SK0702,LTORSO,5,0.8
baseline-normalized,XB0202,UTORSO,5,0.9
baseline-normalized,XB0202,HEAD,5,1
baseline-normalized,XB0202,UPPER_LIMB_L,5,0.7
baseline-normalized,XB0202,UPPER_LIMB_R,5,1
baseline-normalized,XB0202,LOWER_LIMB_L,5,1
baseline-normalized,XB0202,LOWER_LIMB_R,5,0.9
baseline-normalized,XB0202,WRIST_L,5,0.7
baseline-normalized,XB0202,WRIST_R,5,0.6
baseline-normalized,XB0202,LTORSO,5,1
baseline-normalized,XB0300,UTORSO,5,0.3
baseline-normalized,XB0300,HEAD,5,1
baseline-normalized,XB0300,UPPER_LIMB_L,5,0.3
baseline-normalized,XB0300,UPPER_LIMB_R,5,0.3
baseline-normalized,XB0300,LOWER_LIMB_L,5,0.7
baseline-normalized,XB0300,LOWER_LIMB_R,5,0.9
baseline-normalized,XB0300,WRIST_L,5,0.3
baseline-normalized,XB0300,WRIST_R,5,0.3
baseline-normalized,XB0300,LTORSO,5,0.3
baseline-normalized,XC3002,UTORSO,5,0.8
baseline-normalized,XC3002,HEAD,5,0.3
baseline-normalized,XC3002,UPPER_LIMB_L,5,0.7
baseline-normalized,XC3002,UPPER_LIMB_R,5,0.9
baseline-normalized,XC3002,LOWER_LIMB_L,5,0.8
baseline-normalized,XC3002,LOWER_LIMB_R,5,0.9
baseline-normalized,XC3002,WRIST_L,5,0.3
baseline-normalized,XC3002,WRIST_R,5,0.9
baseline-normalized,XC3002,LTORSO,5,0.9
baseline-normalized,XJ1802,UTORSO,5,0.7
baseline-normalized,XJ1802,HEAD,5,0.5
baseline-normalized,XJ1802,UPPER_LIMB_L,5,0.5
baseline-normalized,XJ1802,UPPER_LIMB_R,5,0.9
baseline-normalized,XJ1802,LOWER_LIMB_L,5,0.7
baseline-normalized,XJ1802,LOWER_LIMB_R,5,0.4
baseline-normalized,XJ1802,WRIST_L,5,0.5
baseline-normalized,XJ1802,WRIST_R,5,0.7
baseline-normalized,XJ1802,LTORSO,5,0.6
baseline-normalized,XM2301,UTORSO,5,1
baseline-normalized,XM2301,HEAD,5,0.7
baseline-normalized,XM2301,UPPER_LIMB_L,5,1
baseline-normalized,XM2301,UPPER_LIMB_R,5,1
baseline-normalized,XM2301,LOWER_LIMB_L,5,1
baseline-normalized,XM2301,LOWER_LIMB_R,5,1
baseline-normalized,XM2301,WRIST_L,5,1
baseline-normalized,XM2301,WRIST_R,5,0.9
baseline-normalized,XM2301,LTORSO,5,1
baseline-normalized,XM3001,UTORSO,5,1
baseline-normalized,XM3001,HEAD,5,1
baseline-normalized,XM3001,UPPER_LIMB_L,5,1
baseline-normalized,XM3001,UPPER_LIMB_R,5,1
baseline-normalized,XM3001,LOWER_LIMB_L,5,0.9
baseline-normalized,XM3001,LOWER_LIMB_R,5,0.9
baseline-normalized,XM3001,WRIST_L,5,1
baseline-normalized,XM3001,WRIST_R,5,1
baseline-normalized,XM3001,LTORSO,5,1
baseline-normalized,XP1500,UTORSO,5,0.9
baseline-normalized,XP1500,HEAD,5,0.9
baseline-normalized,XP1500,UPPER_LIMB_L,5,0.9
baseline-normalized,XP1500,UPPER_LIMB_R,5,1
baseline-normalized,XP1500,LOWER_LIMB_L,5,1
baseline-normalized,XP1500,LOWER_LIMB_R,5,0.9
baseline-normalized,XP1500,WRIST_L,5,0.9
baseline-normalized,XP1500,WRIST_R,5,1
baseline-normalized,XP1500,LTORSO,5,0.9
