normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,AU1001,UPPER_LIMB_R,NEUTRAL,47.7902324959544,17.0795752155161
absolute,AU1001,UPPER_LIMB_R,DISGUST,121.4117409421,24.6785809773737
absolute,AU1001,UPPER_LIMB_R,FEAR,30.9300505412068,15.7736900888067
absolute,AU1001,UPPER_LIMB_R,JOY,58.5081673801593,14.1815764936421
absolute,AU1001,UPPER_LIMB_R,SAD,40.217238306674,13.484693633001
absolute,AU1001,LOWER_LIMB_L,NEUTRAL,17.1980104277095,9.48760638869852
absolute,AU1001,LOWER_LIMB_L,DISGUST,36.505670700174,15.9124606038479
absolute,AU1001,LOWER_LIMB_L,FEAR,11.0742128189329,6.71356903790079
absolute,AU1001,LOWER_LIMB_L,JOY,17.4165433285186,6.71068651388043
absolute,AU1001,LOWER_LIMB_L,SAD,14.1143228437133,7.63984829155465
absolute,AU1001,LOWER_LIMB_R,NEUTRAL,16.0561068915828,8.86454500862226
absolute,AU1001,LOWER_LIMB_R,DISGUST,25.5508907668175,12.4536983124773
absolute,AU1001,LOWER_LIMB_R,FEAR,9.27338079347848,6.00412029043718
absolute,AU1001,LOWER_LIMB_R,JOY,15.8825487104855,7.15211247008283
absolute,AU1001,LOWER_LIMB_R,SAD,11.188566842892,6.97668813711556
absolute,AU1001,WRIST_L,NEUTRAL,64.4856610754281,19.601994599082
absolute,AU1001,WRIST_L,DISGUST,142.603623054014,26.0471938811014
absolute,AU1001,WRIST_L,FEAR,27.0907208932801,13.5012008051606
absolute,AU1001,WRIST_L,JOY,53.811825000322,13.8456732035385
absolute,AU1001,WRIST_L,SAD,48.8802179524093,15.4846348698746
absolute,AU1001,WRIST_R,NEUTRAL,57.9252414037162,16.6541944117038
absolute,AU1001,WRIST_R,DISGUST,135.681783526333,26.5244193051952
absolute,AU1001,WRIST_R,FEAR,39.6521914928839,17.0676271188984
absolute,AU1001,WRIST_R,JOY,65.8782269998298,17.2497126309947
absolute,AU1001,WRIST_R,SAD,47.8179204524645,13.2340007254745
absolute,AU1001,LTORSO,NEUTRAL,42.5252835085032,16.2842213258182
absolute,AU1001,LTORSO,DISGUST,120.664226035763,25.6222170655091
absolute,AU1001,LTORSO,FEAR,18.6279526944697,11.5752232262887
absolute,AU1001,LTORSO,JOY,53.9274060042518,12.326772450066
absolute,AU1001,LTORSO,SAD,37.1955070904384,12.6528387528623
absolute,IJ1701,UTORSO,NEUTRAL,38.6415118616321,15.8260994867725
absolute,IJ1701,UTORSO,DISGUST,39.5484492967945,20.834249510204
absolute,IJ1701,UTORSO,FEAR,15.6949819127395,11.8769827420108
