normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
absolute,XJ1505,LOWER_LIMB_R,JOY-SAD,1,2.00353198863341,-1.82554239431419,1
absolute,XJ1505,WRIST_L,NEUTRAL-DISGUST,1,-80.528202626603,-9.38657966062637,0
absolute,XJ1505,WRIST_L,NEUTRAL-FEAR,1,-58.3811592276039,-3.97935603583984,0
absolute,XJ1505,WRIST_L,NEUTRAL-JOY,1,10.1902721012878,5.99741278515547,0
absolute,XJ1505,WRIST_L,NEUTRAL-SAD,1,23.0067387099295,-0.0326216803555042,1
absolute,XJ1505,WRIST_L,DISGUST-FEAR,1,22.1470433989991,5.40722362478653,0
absolute,XJ1505,WRIST_L,DISGUST-JOY,1,90.7184747278908,15.3839924457818,0
absolute,XJ1505,WRIST_L,DISGUST-SAD,1,103.534941336532,9.35395798027087,0
absolute,XJ1505,WRIST_L,FEAR-JOY,1,68.5714313288916,9.97676882099531,0
absolute,XJ1505,WRIST_L,FEAR-SAD,1,81.3878979375334,3.94673435548434,0
absolute,XJ1505,WRIST_L,JOY-SAD,1,12.8164666086417,-6.03003446551097,1
absolute,XJ1505,WRIST_R,NEUTRAL-DISGUST,1,-99.416163173247,-2.69233966554243,0
absolute,XJ1505,WRIST_R,NEUTRAL-FEAR,1,-67.8129424370613,-1.70208794082607,0
absolute,XJ1505,WRIST_R,NEUTRAL-JOY,1,-1.84076939054989,6.17017048122002,1
absolute,XJ1505,WRIST_R,NEUTRAL-SAD,1,-9.72427539354589,-0.610961425755221,0
absolute,XJ1505,WRIST_R,DISGUST-FEAR,1,31.6032207361857,0.990251724716362,0
absolute,XJ1505,WRIST_R,DISGUST-JOY,1,97.5753937826971,8.86251014676246,0
absolute,XJ1505,WRIST_R,DISGUST-SAD,1,89.6918877797011,2.08137823978721,0
absolute,XJ1505,WRIST_R,FEAR-JOY,1,65.9721730465114,7.87225842204609,0
absolute,XJ1505,WRIST_R,FEAR-SAD,1,58.0886670435154,1.09112651507085,0
absolute,XJ1505,WRIST_R,JOY-SAD,1,-7.883506002996,-6.78113190697524,0
absolute,XJ1505,LTORSO,NEUTRAL-DISGUST,1,-72.6212930768179,-3.92820726679084,0
absolute,XJ1505,LTORSO,NEUTRAL-FEAR,1,-52.7481722598232,-0.380758045187743,0
absolute,XJ1505,LTORSO,NEUTRAL-JOY,1,-11.4039691736407,7.12361310257545,1
absolute,XJ1505,LTORSO,NEUTRAL-SAD,1,-13.0329567838084,6.74055363302378,1
absolute,XJ1505,LTORSO,DISGUST-FEAR,1,19.8731208169947,3.5474492216031,0
absolute,XJ1505,LTORSO,DISGUST-JOY,1,61.2173239031772,11.0518203693663,0
absolute,XJ1505,LTORSO,DISGUST-SAD,1,59.5883362930095,10.6687608998146,0
absolute,XJ1505,LTORSO,FEAR-JOY,1,41.3442030861825,7.50437114776319,0
absolute,XJ1505,LTORSO,FEAR-SAD,1,39.7152154760148,7.12131167821152,0
absolute,XJ1505,LTORSO,JOY-SAD,1,-1.62898761016771,-0.383059469551675,0
absolute,AC1602,UTORSO,NEUTRAL-DISGUST,1,13.0429434568214,6.75688363720746,0
absolute,AC1602,UTORSO,NEUTRAL-FEAR,1,-6.78675499017789,-2.59152739726924,0
