normalization,subjectID,markerGroup,pairLabel,deltaFull,ciFullLow,ciFullHigh,deltaMicro,ciMicroLow,ciMicroHigh,okFull,okMicro,includeCI
absolute,XJ1802,HEAD,DISGUST-SAD,5.47042901456265,4.15221627575621,7.21243880754876,2.9405019929668,2.39116716996555,3.33957170463627,1,1,1
absolute,XJ1802,HEAD,JOY-SAD,-47.9078321721342,-50.6112299534803,-45.7049272369197,0.981437009885482,0.150155225907731,1.64396545783502,1,1,1
absolute,XJ1802,UPPER_LIMB_L,NEUTRAL-DISGUST,-20.637545089085,-22.3841783608058,-18.6369430547044,1.33298080564996,0.838541735376255,1.64242391818264,1,1,1
absolute,XJ1802,UPPER_LIMB_L,NEUTRAL-JOY,48.4929146739742,46.0820325694354,50.8884455458356,5.71416747947075,5.22836158260403,6.36299787640089,1,1,1
absolute,XJ1802,UPPER_LIMB_L,NEUTRAL-SAD,-0.114684847579582,-2.49581601749997,1.96341676996461,5.42017627265735,4.87565078859997,5.87854953095848,1,1,1
absolute,XJ1802,UPPER_LIMB_L,DISGUST-JOY,69.1304597630593,67.1714172677983,70.9139720920121,4.38118667382079,3.90107212087502,4.86643755726021,1,1,1
absolute,XJ1802,UPPER_LIMB_L,DISGUST-SAD,20.5228602415055,19.0634889883512,22.1740986218407,4.08719546700739,3.62334361842238,4.77388034437344,1,1,1
absolute,XJ1802,UPPER_LIMB_L,JOY-SAD,-48.6075995215538,-51.2304091325434,-46.4278225870513,-0.293991206813406,-0.896018184069652,0.292856964182461,1,1,1
absolute,XJ1802,UPPER_LIMB_R,NEUTRAL-DISGUST,-19.8627448433407,-24.4440615431672,-16.0497621704173,3.70140927617246,3.12648661378832,4.08645681923168,1,1,1
absolute,XJ1802,UPPER_LIMB_R,NEUTRAL-JOY,32.5819100535626,29.4898267825005,35.6819720903906,9.36311473978974,8.53409887226759,10.0333076910976,1,1,1
absolute,XJ1802,UPPER_LIMB_R,NEUTRAL-SAD,4.45131791625847,0.364984473394788,9.40348539998996,9.29473042851954,8.96781769489684,9.71910874873176,1,1,1
absolute,XJ1802,UPPER_LIMB_R,DISGUST-JOY,52.4446548969033,51.2163034917969,54.5062666231253,5.66170546361729,4.91522029955931,6.17491924546109,1,1,1
absolute,XJ1802,UPPER_LIMB_R,DISGUST-SAD,24.3140627595992,22.7368922022237,26.4414917132254,5.59332115234709,5.14854990427891,6.11379151062869,1,1,1
absolute,XJ1802,UPPER_LIMB_R,JOY-SAD,-28.1305921373041,-30.9246407990603,-25.969806896519,-0.0683843112702007,-0.704953153999469,0.72413871541829,1,1,1
absolute,XJ1802,WRIST_L,NEUTRAL-DISGUST,-38.9584203832741,-43.0320229243987,-33.9115220029789,2.76470765673953,1.72486435104772,4.42124983387102,1,1,1
absolute,XJ1802,WRIST_L,NEUTRAL-JOY,39.827876169125,31.1975269283905,47.6981783252131,9.30178752733314,7.33559875994893,10.8624625570541,1,1,1
absolute,XJ1802,WRIST_L,NEUTRAL-SAD,-16.4829481545413,-21.8487803874953,-9.49722593995734,5.43644024211799,3.95442697835447,6.18803481321936,1,1,1
absolute,XJ1802,WRIST_L,DISGUST-JOY,78.7862965523992,71.6887676101588,85.6470297193713,6.53707987059361,3.94937953512578,7.91129558663664,1,1,1
absolute,XJ1802,WRIST_L,DISGUST-SAD,22.4754722287328,16.469238718486,28.4647848491427,2.67173258537846,1.9736805673109,3.58564718815778,1,1,1
absolute,XJ1802,WRIST_L,JOY-SAD,-56.3108243236663,-67.0352670256935,-47.7836966293952,-3.86534728521515,-4.64759369241697,-2.7873250956842,1,1,1
absolute,XJ1802,WRIST_R,NEUTRAL-DISGUST,-15.382914602081,-21.5796503011055,-6.15660905792912,4.41273681567953,3.64620682139604,5.38609288232703,1,1,1
absolute,XJ1802,WRIST_R,NEUTRAL-JOY,59.6573420304521,50.2840233662047,67.6147922927038,12.8209508053623,11.7260916555262,14.0616568938907,1,1,1
absolute,XJ1802,WRIST_R,NEUTRAL-SAD,16.1777305819162,7.58931995287478,26.8638957990886,10.7017216315999,9.51225255072229,11.7165763140032,1,1,1
absolute,XJ1802,WRIST_R,DISGUST-JOY,75.0402566325331,67.1860681909812,82.3142221285398,8.40821398968273,7.23984542725695,10.1065630506119,1,1,1
absolute,XJ1802,WRIST_R,DISGUST-SAD,31.5606451839972,26.2342445467046,38.8981303068227,6.28898481592034,5.01247555819272,7.37945550217202,1,1,1
absolute,XJ1802,WRIST_R,JOY-SAD,-43.4796114485359,-51.6978909437225,-33.4973163930377,-2.11922917376239,-3.92190994310386,-1.21993417202871,1,1,1
