participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
06-9UA7,25,14,23.4134256721113,1,6429,6.2,3.4,5.5,9,5
06-9UA7,26,12,23.6577126424196,0.951794239950716,6493,6.6,3.5,4.6,6.8,1
06-9UA7,27,29,22.9666665689687,1,6540,4.6,3.7,5.3,9,5
06-9UA7,28,22,23.4425831250929,1,6605,5,3.2,4,6,1
06-9UA7,29,25,23.2107504994081,1,6532,4.8,2.9,3.7,8.9,5
06-9UA7,30,1,23.7992547505632,1,6441,6.9,2.6,3.6,6.8,5
06-9UA7,31,2,22.7074295562932,1,6411,5.1,3.3,4.1,5.8,1
06-9UA7,32,3,24.1152772624693,0.992735725701002,6883,7.1,3.2,5,8.6,5
06-9UA7,33,28,24.013559518171,0.994901112484549,6472,5,3.1,2.9,7.6,4
06-9UA7,34,17,23.2817652525139,1,6180,5,2.5,2.4,2.2,1
06-9UA7,35,11,23.6288206560949,1,6447,5.8,2.8,3.1,7.8,2
06-9UA7,36,26,24.0396213042141,0.997421849822752,6206,5,3,1.7,3,1
06-9UA7,37,31,24.4318719815239,1,6387,3.1,3.8,2.6,1,1
06-9UA7,38,4,23.5998932990065,1,6508,6.5,4,4,8.8,4
07-9UAD,1,22,23.9042660115586,0.997442839951865,6648,3.2,6.6,3.2,5,1
07-9UAD,2,15,23.0951939028074,1,6507,5,5.7,5,3,1
07-9UAD,3,23,22.4172832676164,1,6536,4.5,7.2,2.9,7.2,1
07-9UAD,4,5,22.9244917203456,0.995376791493296,6489,7.3,7.7,3,9,3
07-9UAD,5,26,23.4595749038576,0.991941982272361,6205,5,5.9,5,2.5,1
07-9UAD,6,1,23.2156550426216,0.981849208811666,6446,4,6.2,5,2.8,1
07-9UAD,7,29,22.7324846555581,1,6567,6.4,6.1,4.6,7.1,2
07-9UAD,8,31,22.6973997724309,1,6373,4.6,6.5,3.2,5,1
07-9UAD,9,37,23.080400353364,1,6371,4.4,5.3,3.8,5,1
07-9UAD,10,4,23.3098663354714,1,6518,4.4,6,3.6,3.4,1
07-9UAD,11,25,22.6396422860179,1,6547,3.7,5.5,4.7,3.1,1
07-9UAD,12,7,22.9195248712525,1,6370,7.2,5.3,5.7,9,5
07-9UAD,13,27,22.9493098414171,0.993111006732425,6387,5,5.7,4.8,2.7,1
07-9UAD,14,12,22.7224659311158,0.999226125986689,6461,6.1,5.9,4.1,7,1
07-9UAD,15,30,22.2541721730795,1,6468,5,5.7,4.1,3.6,1
07-9UAD,16,8,22.7450018552597,0.994124922696351,6468,6.1,6.2,3.9,7,4
07-9UAD,17,9,21.8671135656152,1,6467,6.9,6.8,3.8,9,5
