participantID,seq,exp,nSamples,medianVal,maxVal
07-9UAD,33,20,500,23.712990068963,27.4492319233614
07-9UAD,34,14,500,22.209362588682,26.7433483454703
07-9UAD,35,34,500,22.5729095359713,26.9173251555342
07-9UAD,36,18,500,21.9684047000602,25.3983264125626
07-9UAD,37,21,500,21.6893702785642,26.7688789940962
07-9UAD,38,3,500,21.4889791798789,24.8477241739084
08-9UB2,1,30,500,19.7741829006573,33.3838161124455
08-9UB2,2,21,500,19.4022040457475,24.0254092891947
08-9UB2,3,10,500,18.1406657990103,22.782512191098
08-9UB2,4,28,500,19.7597851286018,23.5080551682193
08-9UB2,5,12,500,17.8320911797856,21.3694402403384
08-9UB2,6,7,500,19.9946198058017,23.0483150890049
08-9UB2,7,39,500,18.5118602499114,21.3321136786713
08-9UB2,8,15,500,22.0640705140569,53.5579563031347
08-9UB2,9,6,500,17.9355399540519,32.934031598438
08-9UB2,10,22,500,20.2098327029358,24.4202194449801
08-9UB2,11,23,500,26.2578845900749,36.7830838198042
08-9UB2,12,3,500,21.2572639262083,23.789685287068
08-9UB2,13,26,500,16.7896686998399,18.8802764493111
08-9UB2,14,36,500,20.0699238737278,34.6982045780118
08-9UB2,15,31,500,19.2785843626217,33.6318495034493
08-9UB2,16,37,500,19.1318648311199,24.6683822827016
08-9UB2,17,14,500,28.6705090935845,37.5973873872773
08-9UB2,18,25,500,23.2646434787484,26.5618037312456
08-9UB2,19,38,500,18.5533270511352,24.7903840776965
08-9UB2,20,34,500,18.3341911260133,22.374072862279
08-9UB2,21,27,500,21.2063225633832,24.9574478686474
08-9UB2,22,4,500,22.9951452566118,29.5697345097781
08-9UB2,23,33,500,20.8912547988463,27.583701588621
08-9UB2,24,40,500,23.3744913490588,33.6690659873011
08-9UB2,25,11,500,23.8911641032901,28.7418985591618
08-9UB2,26,8,500,23.1542734524492,28.2806885828848
08-9UB2,27,20,500,21.6565398066447,28.1657218587318
08-9UB2,28,2,500,22.5666067885332,26.6003518823966
08-9UB2,29,18,500,21.8319413540568,27.2953369942527
08-9UB2,30,19,500,23.8744802075064,28.092868885239
08-9UB2,31,32,500,20.1322265977095,23.8494314389393
08-9UB2,32,24,500,23.0988881476579,28.1151495446941
08-9UB2,33,1,500,21.8123771194752,24.1577296171614
08-9UB2,34,5,500,17.7841424715224,23.0013407321361
08-9UB2,35,29,500,22.8585933501753,29.4829771555299
08-9UB2,36,13,500,21.0446453992075,24.2001075011246
08-9UB2,37,17,500,20.3235913753592,31.9193522348319
08-9UB2,38,9,500,23.9090282919149,30.5245749792154
09-9UDP,1,26,500,18.831972805724,22.2055179210673
09-9UDP,2,3,500,20.2815336247781,24.2071632690477
09-9UDP,3,20,500,19.495863482083,22.7299803884445
09-9UDP,4,25,500,19.0648005805136,22.2388191721674
09-9UDP,5,7,500,18.7213163213406,23.7681399072937
09-9UDP,6,4,500,20.2843401749059,24.596742255955
09-9UDP,7,10,500,18.2813323219503,35.9249964473571
09-9UDP,8,21,500,19.8086966227471,23.7585579113762
09-9UDP,9,36,500,20.6142108883461,24.629121620381
09-9UDP,10,9,500,19.7842570861665,26.2405362787382
09-9UDP,11,15,500,20.0855174224603,23.0137117009927
09-9UDP,12,29,500,18.2891158526547,32.7190008705706
09-9UDP,13,24,500,19.1927636862804,33.6403114106163
09-9UDP,14,13,500,21.02570210177,25.3736602176702
09-9UDP,15,2,500,20.4339287856988,24.1435871261744
09-9UDP,16,30,500,21.9269060581333,24.5550489064016
09-9UDP,17,11,500,20.2590674218209,24.5411353824364
09-9UDP,18,27,500,18.868206343559,22.9269747413895
09-9UDP,19,17,500,21.7024848387504,26.9616996275683
10-9UHM,1,19,500,26.8580451477296,38.4092478833474
10-9UHM,2,9,500,30.2877468761753,39.975002079532
10-9UHM,3,6,500,29.3891718253301,35.8758416612486
10-9UHM,4,21,500,23.0705315294837,37.0529220523189
10-9UHM,5,13,500,22.4692790907826,25.319759657133
10-9UHM,6,5,500,24.8935010497875,28.2907510947075
10-9UHM,7,31,500,24.1282567110199,28.4812633556486
10-9UHM,8,25,500,30.3121673023129,72.9445055935357
10-9UHM,9,12,500,27.7565128653424,31.4974643487975
10-9UHM,10,8,500,23.1358218614696,27.795452135379
