participantID,seq,exp,clipDurationSec,front_clip_motion_median,front_clip_motion_n,front_clip_motion_frac,e4_eda_mean,e4_eda_std,e4_eda_n,e4_hr_mean,e4_hr_std,e4_hr_n,e4_skt_mean,e4_skt_std,e4_skt_n,e4_bvp_std,e4_bvp_n,e4_ibi_mean,e4_ibi_sdnn,e4_ibi_rmssd,e4_ibi_n,bh3_rr_mean,bh3_rr_sdnn,bh3_rr_rmssd,bh3_rr_n,bh3_hr_mean,bh3_hr_std,bh3_hr_n,bh3_br_mean,bh3_br_std,bh3_br_n,bh3_bb_mean,bh3_bb_std,bh3_bb_n,bh3_rsp_std,bh3_rsp_n,bh3_hr_conf_mean,bh3_hr_conf_std,bh3_hr_conf_n,valence
02-9TZO,31,2,64.2749998569489,10.3385128758854,5711,1,3.15320128404669,0.237081097410552,257,77.1740625,4.51767278154484,64,32.3869649805448,0.0216535834239332,257,40.6713405244691,4119,0.914459745762712,0.0501173807557175,0.0432798786817488,59,910.056338028169,41.6690660610289,29.5852279742055,71,66.2769230769231,3.09993796463984,65,17.4769230769231,1.00168127895822,65,3173.33333333333,1514.32273090426,21,2374.74699681053,1607,100,0,65,6.1
02-9TZO,32,22,66.2420001029968,10.6748074995063,5719,0.970473443068047,3.24831542105263,0.151162931641336,266,79.3875757575758,4.70586575394714,66,32.4490977443609,0.0159933309977106,266,62.1276345958752,4245,0.966206395348837,0.0362339340806243,0.0449764323205578,43,951.7,40.6563362977952,41.1002662285534,70,63.0757575757576,2.11449652898641,66,18.3333333333333,2.48894993820121,66,2691.66666666667,1018.67632213346,24,1121.19794496948,1656,100,0,66,7
02-9TZO,33,10,64.4779999256134,10.9138499579089,5772,1,3.85506802325581,0.192823033237116,258,77.3718461538461,3.74128148679855,65,32.4848837209302,0.0168821172197286,258,51.8862384541071,4132,0.886997767857143,0.0327740672416975,0.0311076302390733,56,880.082191780822,38.3770596351582,27.7843881023539,73,68.6769230769231,3.55803532649908,65,20.5538461538462,3.79156452384257,65,3431.11111111111,1359.96924225119,18,2246.15496123042,1612,100,0,65,3.5
02-9TZO,34,36,64.8159999847412,9.9887057431683,5814,1,4.34278241698842,0.194543664878366,259,70.4165625,3.39415661205296,64,32.4876833976834,0.0125460452106041,259,31.6381050007828,4154,0.933333333333333,0.0335324648745804,0.0384351099918388,60,928.928571428571,32.2626546023042,33.8393476484899,70,64.671875,1.60410868788236,64,17.28125,1.785912687391,64,3450.52631578947,1258.34756585421,19,1630.79745792883,1621,100,0,64,2
02-9TZO,35,30,64.8029999732971,9.61249187198397,5756,1,3.81719350769231,0.184673393552145,260,68.2729230769231,1.40767730130715,65,32.4834615384615,0.0150782534583334,260,43.6699606303372,4152,0.9375,0.0374130937418083,0.0378456294262186,46,937.623188405797,43.3464502411455,35.4201670703869,69,64.2307692307692,2.59668797924172,65,18.4307692307692,0.809498895328747,65,3166,1249.18668277446,20,1439.77764243397,1620,100,0,65,3.3
02-9TZO,36,8,64.6669998168945,10.7766580430101,5720,0.988422325902886,4.0611882972973,0.192195095938352,259,70.61609375,1.54822849836028,64,32.5111196911197,0.019685048193612,259,58.4151965377486,4144,0.948958333333333,0.0492305856981391,0.0510672670802487,45,923.528571428571,63.2404478502992,40.644624579966,70,65.7384615384615,5.02268890596997,65,18.3230769230769,1.69657460331557,65,2932.72727272727,944.831463016814,22,3604.48292596593,1617,100,0,65,7
02-9TZO,37,3,68.5889999866486,11.5540888721871,6174,0.996932020022606,3.43112722545454,0.107786251853508,275,72.0566666666667,5.28660228554127,69,32.5470909090909,0.0156691066259438,275,51.4198363109236,4395,0.9375,0.0454607388750971,0.0602803527713015,44,949.178082191781,44.7025174737749,43.3134569799682,73,63.5294117647059,2.77230755888548,68,19.6029411764706,0.964128341651004,68,2869.5652173913,1342.84460029944,23,2713.81213819353,1714,100,0,68,6.6
02-9TZO,38,7,63.8539998531342,10.4837536650329,5727,1,4.12196474901961,0.135552806877765,255,72.33359375,4.76245647138796,64,32.5623137254902,0.0164741388792905,255,47.9969279990642,4092,0.954483695652174,0.0517516613306577,0.0400737167951486,46,951.588235294118,57.592297187617,37.8279688045842,68,63.5,4.08248290463863,64,21.53125,3.12678520437297,64,3650.52631578947,1410.2382528582,19,1381.51752020548,1597,100,0,64,7.9
04-9U66,1,17,61.9409999847412,13.3616366263019,5593,1,0.127717778225806,0.00678375902410867,248,65.6456451612903,3.40496774061787,62,28.5994354838709,0.19678304467362,248,29.3830488139907,3971,0.953125,0.080855076543021,0.110730685549319,19,913.647058823529,65.2160049731138,56.2820721170698,68,66.0161290322581,3.4616964261778,62,15.5806451612903,1.42055619558406,62,2990,780.485678751918,20,21912.6376154728,1549,100,0,62,4
04-9U66,2,2,64.2220001220703,13.3128862513957,5862,1,0.137491571984436,0.0045229864783431,257,70.0912307692308,2.6688647561348,65,28.8354474708171,0.03104769144347,257,9.84619071620055,4116,1.03267045454545,0.12847740181049,0.111376249258132,22,1025.26984126984,106.92373018082,93.9043782688779,63,60.3692307692308,7.06790552154869,65,20.4923076923077,1.03264037972866,65,2916.36363636364,1020.54395138571,22,13852.2738380997,1606,99.7384615384615,0.619397970737592,65,8.7
04-9U66,3,12,64.731999874115,11.7215571431345,5926,1,0.18179594980695,0.00223882709147734,259,96.5147692307692,9.66169112197955,65,28.8231274131274,0.0401627886786384,259,16.6576684675114,4150,1.06107954545455,0.120674907980877,0.125,33,1076.9,109.83449799199,107.05431854271,60,57.7692307692308,6.83686978532855,65,18.5538461538462,2.45605609432308,65,3290,1159.95462706181,20,17140.7145725327,1618,100,0,65,5.2
04-9U66,4,23,65.135999917984,12.7137720602503,5953,1,0.167763363984674,0.00255134335537294,261,70.1078461538462,5.42292025005546,65,28.6372030651341,0.0469393322667225,261,31.4793015016024,4175,1.01201923076923,0.096351459594682,0.108722009089313,13,1045,111.615264247838,110.336148082895,62,59.4153846153846,7.22602135447887,65,17.9692307692308,1.82832941822267,65,2992.38095238095,1076.48457843995,21,12610.5555766057,1628,100,0,65,1.6
04-9U66,5,30,65.2420001029968,10.8833745805044,5918,1,0.217585601532567,0.0037560804061596,261,76.2998461538462,8.22516517545159,65,28.3876245210728,0.0757050756113981,261,11.5649188693646,4182,1.041875,0.106323129095283,0.101996961239249,50,1069.62295081967,100.367850751527,97.854143158751,61,58.3692307692308,4.63198536931395,65,19.3230769230769,2.43097005012719,65,3308,1530.60565927692,20,13439.9261043769,1631,100,0,65,2.8
04-9U66,6,40,67.0989999771118,12.3743567866113,6265,1,0.159988850746269,0.00194781195982144,268,69.3065671641791,4.69380331418337,67,28.5414925373134,0.0209693002884363,268,10.6039692253644,4301,1.05842391304348,0.098620792478017,0.114189880616573,23,1024.51515151515,99.8377518275361,79.5417645497779,66,59.4626865671642,5.95011677555118,67,17.0746268656716,1.30631836153808,67,3249.09090909091,1437.45446003528,22,14770.1691453265,1678,100,0,67,6.5
