participantID,seq,exp,clipDynamicMedian,preDynamicMedian,clipMinusPre,clipOverPre,logClipOverPre,clipSelectedFrac,preSelectedFrac,valence,dominance,arousal,liking,familiarity
17-9UTL,18,37,21.1767741864753,22.9914391644228,-1.8146649779475,0.921072144941865,-0.0822169125245093,0.939598368371509,1,3.1,6.9,5,1,1
17-9UTL,19,36,23.3744924908674,25.0950613946594,-1.72056890379199,0.931437948019599,-0.071025706275215,0.957374517374517,1,5,9,3.1,1,1
17-9UTL,20,33,21.7941012964572,18.6527764094243,3.14132488703286,1.16841057964142,0.155644346301662,0.936974096683716,1,2.8,7.8,1,1,1
17-9UTL,21,6,19.7756235366167,22.1066006765999,-2.3309771399832,0.89455741413692,-0.111426192361574,0.973505853357979,1,6.2,7.7,6.1,6,1
17-9UTL,22,9,23.7848991115267,24.7823437214872,-0.997444609960514,0.959751804705392,-0.0410805647118625,0.963452566096423,1,7,7.8,6,7.9,5
17-9UTL,23,17,18.6436189251251,23.5056330307478,-4.86201410562271,0.793155364109416,-0.231736157105196,0.887558647468047,1,5,9,1,1.7,1
17-9UTL,24,27,21.5022204432761,22.6157420121127,-1.11352156883653,0.950763429816269,-0.0504900067765356,0.980043997485858,1,6,8.9,5.8,6.2,3
17-9UTL,25,18,21.3934014964999,22.0098240355336,-0.616422539033668,0.97199329999011,-0.0284063675597455,0.910917302600841,1,8,6.7,6.9,8.9,5
17-9UTL,26,11,19.465182237972,21.4080279397755,-1.94284570180344,0.909246862566276,-0.0951386456942375,0.971782945736434,1,6.2,7.8,6,6.9,2
17-9UTL,27,1,21.9217131851042,19.2933429775208,2.62837020758339,1.13623197445076,0.127717502313979,0.908681472278304,1,5,8.9,1.2,2.7,1
17-9UTL,28,40,22.9393858150757,22.6383556904516,0.301030124624095,1.01329734936319,0.0132097156226561,0.936268656716418,1,5,9,1,3.2,1
17-9UTL,29,12,19.2031418175009,22.2976147882551,-3.09447297075421,0.861219551950275,-0.14940581060255,1,1,5,9,1,5.1,1
17-9UTL,30,20,23.1628767468883,24.4761009165823,-1.31322416969403,0.946346676124205,-0.0551463118146729,0.904702194357367,1,7,6.7,7,9,5
17-9UTL,31,38,21.6670514150617,27.054438705624,-5.38738729056221,0.800868635672626,-0.222058345772022,0.959531772575251,1,3.1,6.9,1,1,1
17-9UTL,32,8,17.9909975776972,22.4870063364393,-4.49600875874205,0.800061925030169,-0.22306614802221,0.980793060718711,1,7.1,7.1,6,6.8,2
17-9UTL,33,4,21.1498762025644,25.6957967255005,-4.54592052293614,0.823086998566393,-0.194693374819711,0.921198156682028,1,5,8.7,3.1,5.1,1
17-9UTL,34,15,23.5612682431702,25.6003592315626,-2.03909098839238,0.920349125965451,-0.0830021961801198,0.919709158415842,1,6.9,8.6,6,7.1,1
17-9UTL,35,29,18.7896070772887,18.7547342028722,0.0348728744164646,1.00185941714978,0.00185769057366783,0.982208588957055,1,3,5.8,6,7.3,5
17-9UTL,36,22,22.6873655545344,20.21405952236,2.47330603217442,1.12235573114042,0.115429807777775,0.883189589953094,1,6.8,7,2.9,5.8,1
17-9UTL,37,24,18.5118602499114,18.3233212256273,0.188539024284157,1.01028956606516,0.0102369888372533,0.9808,1,4.3,6.6,3,9,5
17-9UTL,38,5,18.6100020125737,18.1532166412017,0.456785371371939,1.02516277860835,0.0248514083800411,1,1,5,8.8,1.3,5,2
18-9UVM,1,2,23.4377260685557,23.593862271339,-0.156136202783287,0.993382338127278,-0.00663965568248336,1,1,9,3.4,6.9,9,5
18-9UVM,2,23,23.4862514332747,23.579381585199,-0.0931301519243704,0.996050356469788,-0.00395746397098016,0.987833050977976,1,2.7,7.8,2.2,1,1
18-9UVM,3,1,23.5443498558317,22.645925700337,0.898424155494709,1.03967266197828,0.0389059155118949,0.989132122341251,1,6.4,9,2.9,3.7,1
18-9UVM,4,22,24.1412292388573,23.6601176144589,0.481111624398419,1.02033428710026,0.0201303060548699,1,1,3.8,1.9,7.9,7.3,1
18-9UVM,5,25,24.0940230356145,22.5287371143991,1.56528592121536,1.06947952356437,0.0671721035546729,1,1,3.8,7.4,3.3,9,1
18-9UVM,6,18,24.013559518171,22.232418922445,1.78114059572603,1.08011456611803,0.0770671152489901,1,1,7.2,9,1.6,7.1,4
18-9UVM,7,20,24.1011098605245,22.5892982043733,1.51181165615119,1.06692601259558,0.0647816283929634,1,1,6.5,7.6,4,6.2,1
18-9UVM,8,27,23.2168809841703,22.8872140789227,0.329666905247656,1.01440397700266,0.0143012252399211,1,0.662,5,8.5,2.6,5,1
18-9UVM,9,30,23.7009845846414,24.8041577897016,-1.10317320506019,0.955524665888143,-0.0454947009953955,0.997527047913447,0.818,3.5,9,2.1,2,3
18-9UVM,10,17,24.4458476935915,22.7974984973008,1.64834919629063,1.07230395021128,0.0698095581048288,0.940948066655881,1,5.8,9,1.9,6,1
18-9UVM,11,24,23.3086452843243,24.4819146621841,-1.1732693778598,0.952076077625085,-0.0491103339119551,0.964444444444444,1,1.5,2.7,7.2,9,4
18-9UVM,12,15,24.4598154202965,21.8684151020501,2.59140031824634,1.11849968578671,0.111988221024192,0.961817900757459,1,6.9,7.3,3.9,6.4,1
18-9UVM,13,36,23.1099779823558,22.1014497238063,1.0085282585495,1.04563176946095,0.0446212668189986,0.983766233766234,1,2.8,8.9,1.9,1.8,1
18-9UVM,14,21,24.4877269722688,24.8934994743157,-0.405772502046904,0.983699660127514,-0.0164346519676893,0.982748364069007,1,3.1,9,2,4,1
18-9UVM,15,38,23.4328680052703,22.6873587559034,0.745509249366869,1.03286011639292,0.0323317660531834,0.980434782608696,1,3.8,8.8,1.7,2.9,1
18-9UVM,16,14,26.3951895086087,23.6480857798753,2.74710372873335,1.1161660082894,0.109899605843984,0.993135725429017,1,8.7,2.8,7,9,4
18-9UVM,17,12,24.357199418772,23.919739689699,0.437459729072931,1.01828864923899,0.0181234233583332,0.977244582043344,1,7,5.3,6,7.3,1
18-9UVM,18,34,24.249454763859,22.2886774291385,1.96077733472049,1.08797190147124,0.0843153222466206,0.977187453099205,1,4.1,9,2.3,1,1
18-9UVM,19,5,25.9931481409518,22.4363201898642,3.55682795108763,1.15852991582347,0.147151887451556,0.973339497611342,1,7.9,3.3,7.2,9,4
18-9UVM,20,31,23.6805604348749,22.7962488407561,0.884311594118792,1.03879197846524,0.0380584788525344,0.991214308126765,0.788,3.1,8,4,5.7,1
18-9UVM,21,13,23.4085625656777,22.5691291835952,0.839433382082525,1.03719387554805,0.0365188698713128,1,1,7.1,4.4,5.7,7.5,1
18-9UVM,22,26,23.5854163157616,25.2815104645879,-1.69609414882628,0.932911676649937,-0.0694447485859562,0.957937147461724,0.952,3.1,8.2,2.1,3,1
18-9UVM,23,10,23.7585579113762,23.5854152043135,0.17314270706278,1.00734109217764,0.00731427751310624,0.973426573426573,1,3.6,7.9,3.2,3.2,1
18-9UVM,24,29,23.2939872940154,21.8736196993554,1.42036759465993,1.06493518741673,0.0629139404238338,1,1,3.6,7.6,3.9,7.2,3
18-9UVM,25,4,23.4522942204245,23.1960305178823,0.256263702542242,1.0110477394977,0.0109871590003553,0.976333179652682,1,6.6,7.8,3.5,6.4,1
18-9UVM,26,37,24.1081946021974,25.5413663407141,-1.43317173851667,0.943888211797341,-0.0577475395550099,0.881337309684508,0.956,3,9,2,1,1
18-9UVM,27,39,24.0301475614604,21.2639576096995,2.76618995176094,1.13008819912711,0.122295682003198,0.975112072963364,1,3.1,8.9,1.7,1.7,1
18-9UVM,28,33,23.5950686248685,22.0576209166141,1.5374477082544,1.06970142945454,0.0673795716425466,0.97589565791646,1,4.6,9,1,1,1
18-9UVM,29,11,23.8875905536439,24.3361564779809,-0.448565924337018,0.981567922414418,-0.0186040649963192,0.929900744416873,0.908,7.3,6.3,4.4,7.1,1
18-9UVM,30,32,24.8339746252172,23.4122099586405,1.4217646665767,1.06072748660158,0.058954980836958,0.947805642633229,0.956,6.3,6.7,6,5.7,5
18-9UVM,31,28,23.9732264845337,24.2564961775767,-0.283269693042989,0.988321903915173,-0.0117468206206955,0.965725806451613,0.998,4,7.2,3.5,6.2,1
18-9UVM,32,6,27.9058249804671,24.7834943511072,3.12233062935985,1.12598427748428,0.118657566462176,0.929805615550756,0.946,8.5,3.2,7.3,9,4
18-9UVM,33,8,24.7743050684957,22.985244482546,1.78906058594965,1.077835177577,0.0749545643006519,0.985583630444892,1,7.1,3.6,5.9,9,1
18-9UVM,34,19,24.9756882861152,23.7177912414759,1.25789704463931,1.05303601131456,0.0516774313463337,0.944186765615337,0.826,6.9,6.2,3.8,5.7,1
18-9UVM,35,9,25.4643586786548,23.202164762276,2.26219391637882,1.09749926093348,0.0930341925578358,0.922574626865672,1,7,3.7,6.6,8.9,4
18-9UVM,36,40,25.3467242650482,25.6225833190088,-0.275859053960652,0.989233753266557,-0.0108246221352103,0.870746268656716,1,4.2,8.3,1.9,1.9,1
18-9UVM,37,7,26.9975683990467,23.3671852977046,3.63038310134212,1.15536244759863,0.144414102191201,0.836577708006279,0.998,8.2,1.4,8.1,9,4
18-9UVM,38,3,24.4062290574411,22.1529026606374,2.25332639680371,1.10171698180246,0.0968698554254056,0.994596962616822,1,6.9,4.1,6.6,7.5,1
19-9UY7,1,22,21.6104914426313,21.0973261092187,0.513165333412609,1.02432371433024,0.024032603935245,1,1,6,7.1,2.5,6.9,2
19-9UY7,2,28,20.8462477654539,19.7424806397476,1.10376712570628,1.05590822885165,0.054401277011112,1,1,6.3,6.8,2.3,6.2,2
19-9UY7,3,24,19.6673817096538,18.8591590109067,0.808222698747095,1.0428557126158,0.0419628276337905,1,1,5.9,6.7,3.5,3.1,4
19-9UY7,4,23,20.9470404037186,18.5931701965815,2.35387020713717,1.12659864790405,0.119203047321582,0.99691975974126,1,5.3,7,2.7,3.5,3
19-9UY7,5,19,21.7810376368907,18.5441171566133,3.23692048027743,1.1745524175101,0.16088715375919,0.993043747101561,1,6.5,6.7,2.9,6.8,4
19-9UY7,6,32,21.0284095061546,21.1215960666186,-0.093186560464062,0.995588090967645,-0.00442167022391622,0.990588235294118,1,6,6.8,3.5,5.7,3
19-9UY7,7,33,21.0446455730486,20.1943365186189,0.850309054429722,1.0421063130074,0.0412439659648844,1,1,6.8,6.7,3.7,6.9,3
19-9UY7,8,27,21.151221871349,20.1576579810733,0.993563890275674,1.04928964918487,0.0481134106375708,1,1,4,6.3,3.1,3.1,3
19-9UY7,9,29,21.5656645559105,20.2688983186198,1.29676623729066,1.06397813126821,0.0620148373888787,0.963184537505752,1,5.8,7.3,2.4,5.8,3
19-9UY7,10,8,21.3641118671748,21.1458381683938,0.218273698780973,1.01032230063631,0.0102693894894511,1,1,6.8,6.9,2.6,6.2,5
