participantID,seq,exp,baselineDynamicMedian,clipDynamicMedian,preDynamicMedian,walkDynamicMedian,walkRawMedian,clipMinusBaseline,clipOverBaseline,logClipOverBaseline,clipMinusPre,clipOverPre,logClipOverPre,baselineSelectedFrac,clipSelectedFrac,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
05-9U8B,6,7,11.5566929060162,9.4878250157458,8.98973236770554,208.739604951329,990.743912419794,-2.06886789027036,0.820980975518234,-0.197255342126773,0.498092648040259,1.05540683834255,0.0539263213530812,0.945533769063181,1,1,0.892744479495268,4.1,8.3,5.7,5,1
05-9U8B,7,19,12.9640051497615,9.28581037652829,8.26243482609989,215.684451792655,996.534495138026,-3.67819477323326,0.716276356670461,-0.333689213486473,1.0233755504284,1.12385883483107,0.116768151796887,0.965065502183406,1,1,0.77970479704797,7,8,5.4,6.8,1
05-9U8B,8,24,11.1798443175934,8.63622103269075,8.47091572949326,230.633931903334,1001.68732166252,-2.5436232849027,0.772481332240033,-0.258147435887294,0.165305303197496,1.01951445492746,0.0193264893795875,0.91304347826087,1,1,0.901789264413519,4.1,7.2,6.8,8.3,1
05-9U8B,9,26,17.2747804390008,11.7677525466845,9.73745547952268,243.341838122746,990.72624089498,-5.50702789231633,0.681209963173642,-0.383884704385057,2.03029706716184,1.20850386134565,0.189383116311985,0.984913793103448,0.987565674255692,1,0.806287563569117,4.8,8.2,4,4.3,1
05-9U8B,10,2,20.2656373570457,12.5921544201608,9.73368921508498,206.852569440135,998.728935539372,-7.67348293688488,0.621354966454235,-0.475852755756146,2.85846520507587,1.29366719461783,0.25748097182306,0.903930131004367,0.98591310251188,1,0.900816802800467,5,7.6,5.9,5.8,1
05-9U8B,11,28,22.2815495641661,11.3581446161093,9.0536512211448,231.817487045317,991.469364125759,-10.9234049480569,0.509755597715509,-0.673823888292115,2.30449339496446,1.25453746103918,0.226766947709052,0.582251082251082,0.999666888740839,0.891304347826087,0.798986486486487,4.4,8.5,5,7.3,1
05-9U8B,12,15,12.2675992366832,9.4316114274098,9.67731249799247,218.889349316629,1000.32344544847,-2.8359878092734,0.768822916810562,-0.262894613223804,-0.245701070582676,0.974610609026665,-0.0257172631131348,0.978448275862069,0.989588581024349,1,0.907053941908714,6.7,8.3,3,7.9,1
05-9U8B,13,9,13.6226165433783,9.62464156679699,9.04874475275211,218.959961390686,993.542902385207,-3.99797497658134,0.706519304580685,-0.347404752983601,0.575896814044878,1.06364383456277,0.0617005929285744,0.778260869565217,1,1,0.892410341951626,7,7.2,6.9,8,1
05-9U8B,14,4,12.6186603185637,10.6019790967325,8.38645008192624,247.582702329106,988.982304735446,-2.01668122183117,0.840182620744266,-0.174136005126025,2.21552901480629,1.26417959841924,0.234423372988208,0.440789473684211,0.99597855227882,1,0.867799419809366,6,8.1,3.7,5.5,1
05-9U8B,15,20,14.0914143872893,10.7892829905875,8.86628334440363,244.754694320981,997.403629429931,-3.30213139670182,0.765663594445111,-0.267012377448374,1.92299964618386,1.21688903585488,0.196297631421825,0.888888888888889,0.997980138023902,1,0.875155022736668,7.2,7.3,6,8.7,3
